Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
1776.218,1.67E-13,-127.7658615,-122.4642258,0.099980815,18.40766489
1782.179,7.78E-14,-131.0891876,-125.7875443,0.099980815,18.40766489
1788.139,1.97E-13,-127.0482254,-121.7465897,0.099980815,18.40766489
1794.1,2.33E-11,-106.3296814,-101.028038,0.099980815,18.40766495
1800.06,6.74E-11,-101.7128906,-96.41124725,0.099980817,18.4076652
1806.021,1.26E-11,-109.0083542,-103.7067108,0.099980818,18.40766542
1811.981,1.27E-13,-128.9488373,-123.6471939,0.099980818,18.40766546
1817.942,1.36E-13,-128.6641998,-123.3625565,0.099980818,18.40766546
1823.902,3.88E-13,-124.1098938,-118.8082504,0.099980818,18.40766546
1829.863,2.12E-13,-126.7343674,-121.432724,0.099980818,18.40766546
1835.823,9.03E-14,-130.4449005,-125.1432648,0.099980818,18.40766546
1841.784,7.07E-14,-131.5063934,-126.2047424,0.099980818,18.40766546
1847.744,6.15E-14,-132.1088257,-126.8071823,0.099980818,18.40766546
1853.704,8.28E-14,-130.8188324,-125.5171967,0.099980818,18.40766546
1859.665,1.89E-13,-127.240303,-121.9386597,0.099980818,18.40766546
1865.625,3.36E-13,-124.7331772,-119.4315338,0.099980818,18.40766547
1871.586,4.93E-13,-123.0675812,-117.7659378,0.099980818,18.40766547
1877.546,5.07E-13,-122.945694,-117.6440506,0.099980818,18.40766547
1883.507,4.14E-13,-123.8321304,-118.5304871,0.099980818,18.40766547
1889.467,2.31E-13,-126.3719406,-121.0703049,0.099980818,18.40766547
1895.428,1.88E-13,-127.2567673,-121.9551239,0.099980818,18.40766548
1901.388,9.31E-14,-130.3088989,-125.0072632,0.099980818,18.40766548
